,seeds1,seeds2,moves,player1,player2
17782,12,28,641256514321161324521443542615235435442335514452654435512335425364152132435465112236,800,1952
17909,6,31,6411565113142453345144132451355161326554453315544556,8298,1952
18006,23,25,6354412144511125564216144352215443523113223351415262113246431462134436156445334421161224334454233442161324355643543526662531425364161322334451661513243243546516,2858,1952
18427,4,25,634466623442224433441344364213564556245543556131614156235416,3270,1952
18596,26,12,63422613211541224332234553144352334425263123325243546524534512544335542541613213266,395,1952
19028,30,11,633562334263224336314135234233462466354661552662435134224533544551166,1007,1952
19046,25,6,63356222651161312513356241132243543251644312245335641556643516523161412,625,1952
19133,27,8,633561226524456411432461315514433554261141521131516433256422415233166,7435,1952
19209,25,15,6334666222124664352243344511665,5958,1952
19211,13,28,63346632122262465114132614252445513413663425665312,246,1952
20149,25,11,63252265526342655312511553455223544161241344336253644233556665331534422445126233442134556,6512,1952
20202,25,6,63252115514152115543556322534664125141226133144126225,5127,1952
20221,25,14,632466221233226244335463144145234534451245556664534224151354354,7541,1952
20225,25,9,632465161232624215345223455422336344521335246546315,7541,1952
20271,26,6,6324252622526235246533166354124214351355464455116,1567,1952
20361,26,14,632246111535465625534534433412524364335632542354316112415234252354354116326,7541,1952
22142,25,16,624131632446326241521412534121321423443556665145522433556341521423354455666,6522,1952
22147,6,25,6241314324454212435534552165436233261122413341531132624153224356146,1952,6522
23533,25,4,623161263224352335243561435426224362541231615264235426556,7435,1952
23557,26,11,623161261132241533341615166112463543226156426,1007,1952
23567,25,11,6231612611322315343516211246315,6746,1952
24197,17,26,62256111543122143312554115215162166224552325441625165122132436256135466,1952,246
25592,26,17,622321454111444223451432654325465312433161432542513243556612334152233463544161526523314214255334455662514332241345543526416,415,1952
25686,25,8,62213631251132242533341615162146566214236,7541,1952
25854,30,8,62213513341625334654262516325344556,1765,1952
25902,5,26,62211623125136233253465332435464514355,4213,1952
26033,27,9,62151441653146422143256334534255143546534234135445162152415233441516511223546,395,1952
26034,25,16,621514262465445145142615235636435422255443553451161233445526514253346526513253241536512213612341533455426,3771,1952
26278,16,27,6214132215231535546654651345523631125335543615362444551334254665245143523553445516,7541,1952
