,seeds1,seeds2,moves,player1,player2
13599,28,11,65221641334136452446153612625,5714,8124
13627,27,12,6522115652211362541244224162322611613441236644352216433445553326146,5714,1580
13628,25,8,65221152336322331151254115233542642115125161416123355442142344366536524,5714,3711
13810,27,0,65213253346116235261133,5714,7589
13812,26,3,65213151425351453224553354253645516,5714,1580
14415,6,25,64526416131434625322531615533253654665334253642533425261,2572,5714
14443,2,29,64524625332114,2453,5714
14459,13,28,645236432523113244536645,1568,5714
14477,16,26,64522611555423612436314326426211551156311356152134224552233634456122331426,7919,5714
14651,25,13,6446425523334422126221553,5714,246
14722,14,26,6446334221653123416132514255344511615145223514231544265,246,5714
14724,25,17,64463236446225431344216255326,5714,2620
14725,26,9,64463236446225411345142541514354264511561235532132536526344,5714,246
14731,25,9,644631542152625144333261514226244556432534451453361562236,5714,246
14791,39,3,644365462232611166215,5714,9
14806,0,29,64436431244262211134463521143541225,389,5714
14809,25,0,64436431214432623111416132432445563,5714,2620
15215,25,13,6442261463162514255345231425511531512554453314561214216334615145526,5714,541
15217,26,11,644226146311416112326451331641521433544566231446543,5714,5127
15218,27,10,64422614631141611232634635113242533544554622134426251666553,5714,2620
15219,28,13,6442261463114161123263463511324253344522153325346252114421615345221435235445366,5714,2620
15220,25,16,6442261463114161123263452416253641615,5714,2620
15221,12,25,64422614614664314425541261315226334122151146221463536,7919,5714
15222,12,25,644226146145442316116142234466562445263,7919,5714
15223,25,6,6442261461413124151123156332425,5714,2620
15226,25,12,64422614614131221316254624153246135,5714,2620
15229,17,25,6442261334432431664435664435435,1260,5714
15230,25,15,6442261332244254236334521614234435613215234256254652341523562435615541531425326,5714,2620
15231,26,10,6442261332244252244114315143631432412236513542566,5714,2620
15233,25,23,6442261151346532645124155361331554352242145536541314325325262415623364426,5714,706
15234,25,12,644226115132142522146312422152413461241546335225416,5714,2620
15235,27,7,644226115132142522115142344321151252445651351642136,5714,2620
15236,12,25,644226115132142522115141523152435512365445536,246,5714
15237,11,26,644226115132142324655161125542625413662463544253334154126,246,5714
15238,25,8,644226115132142324645314253644113551264,5714,2620
15239,25,17,64422611513113614115514312356221344533533445216241123543254435466,5714,706
15240,28,13,64422611513112146251435663214361344226142334456651152432435,5714,2620
15241,27,16,644226115131121462514163562132615442145344314223356,5714,2620
15242,29,9,644226115131121462514161521615665365341522654264354662135,5714,2620
15243,25,13,64422611513112146251416152161366556433152265331526642536556,5714,2620
15247,25,12,6442246131221244263346355345562446556,5714,2620
15252,27,8,644222543161236212332435564,5714,2620
15253,25,16,64422234124344353223143612552115225164561513312234161513253461514,5714,2620
15311,25,17,6441615161262115112324161512556445513455233462514453652132441553243516,5714,6191
15386,25,9,64416121614436312342216111261412322431615664431421425335,5714,6191
15387,9,25,64416121614436312341322161415442615463315561546512151465534226,7919,5714
15388,5,25,6441612161443631233426326436113453442635,246,5714
15394,9,26,6441612161441521134645142161564354633262416256546556,5127,5714
15395,12,25,644161216144152113464514216145322624336341635664121122344553,5127,5714
15396,25,16,64416121613161446113621143224632251123415543523342532133425365516342536411614351613254,7907,5714
15397,13,25,644161216131445113631421326453445566,1568,5714
15400,25,10,6441612161116421454325441211445443311233542314223453631241526326655262415426,5714,5127
15403,10,25,64416121446136312334263264365321613253166552614655661312213426,5127,5714
15405,11,26,64416121443645463312154356613364261566,8278,5714
15413,4,25,644161116144254245544344214216215526425133262231435265,5127,5714
15415,9,26,64416111464413525114223352411435445562253446,5127,5714
15421,20,28,64415651633536435163211124154633154614253266415162132624,1580,5714
15450,5,37,64413621551335435426612235,6245,5714
15458,25,8,644126314345264164325536134125325,5714,246
15459,26,8,64412631434524416532551345613623534,5714,2791
15460,14,26,644126314245114334125516664433442465235,246,5714
15471,10,26,6441214633663546612264234561563152452455462334554615246322345213244233445556612235645,2600,5714
15472,25,14,64412146336635466122642345546243513612544325142546633156452611326,2600,5714
15473,26,17,6441214633663546612264234554431453316154612523355461164211445225563315216141533452614253661511361224134635142536416,2600,5714
15474,18,27,64412146336635466122642345544314533161546125233554611642114352355316141546241253443516623112243365465,2600,5714
15475,15,27,644121463145424555363355443546514221321262151141216131425516445266112534425563314224334451663143522635142566,8278,5714
16277,15,27,64316151614645415661233235531266123155122163241611224256326553,2323,5714
16278,25,12,643161516146454156132113255261352621614133655642462534,5714,1765
16284,26,11,64316151611621531625143142263561542362262335,5714,2791
16289,15,25,6431614652514253544152363453445554433551442654231265335521615235441142553345541526,2323,5714
16309,11,26,6431612645443665113423255211533256315215161416351365411423614335244562512233455416,504,5714
16315,4,27,6431612645441216144121522514261122455352412254362544152346,504,5714
16316,10,25,6431612645441216114453655116136531162651614155141615321135612251432614,1568,5714
16317,15,29,643161264544121611445365511613652153161516121361425332161411512134161225143523355415264655345523425433455466,1568,5714
16318,9,26,6431612645441216114453651344255624551232514513562564,504,5714
16319,11,25,643161264544121611445341143325246326236132466546341533452234556146,1568,5714
16324,11,25,6431612645342161421611614514612143253264113442563112415125232426,1301,5714
16335,10,31,643161263123422356324312433543324363526511233544,885,5714
16336,10,26,6431612631234223442132431224554461516136222653161415,8124,5714
16342,11,27,64316126213534661135435661315421665115466211442344325211265344225335314224315142135426151666,1765,5714
16343,16,27,64316126213534652316651346645566442211522635544366,5014,5714
16383,4,27,64316116251161316124354665564135544331146554136142,5458,5714
16411,12,25,64315651325523342622422411465132564162546566,246,5714
16415,15,26,643156513243425134215331441652644355,5172,5714
16424,15,26,64315612662152463442625166142231425463625443546566,1580,5714
16439,13,25,6431464133324622433641615413312561413622536544,5172,5714
16442,25,23,6431264544116145334112134422624113364213351624152161425562415333122621655342556234663513544526,504,5714
16883,10,26,64226446422346111431244334455266151116122445,7892,5714
16886,4,25,6422644642232446541133562236536145,246,5714
16934,25,6,6422644611143311443244523112445325611314,5714,7907
16942,4,25,64226445423161161145345625443216132265224151314256413445,5495,5714
